day,supply_ratio,price_index,lambda_multiplier,sink_boost,faucet_boost
17.416667,0.683637,0.421358,1.657502,1.000000,0.349996
17.458333,0.641453,0.419198,1.657502,1.000000,0.349996
17.500000,0.624930,0.417302,1.397824,0.694497,0.349996
17.541667,0.712241,0.416675,0.600000,0.096044,1.000000
17.583333,0.782877,0.416200,0.600000,0.095914,1.000000
17.625000,0.835212,0.415839,0.600000,0.096069,1.000000
17.666667,0.878209,0.415571,0.600000,0.096056,1.000000
17.708333,0.911792,0.415375,0.600000,0.096106,1.000000
17.750000,0.938979,0.415240,0.600000,0.096050,1.000000
17.791667,0.959942,0.415151,0.600000,0.096431,1.000000
17.833333,0.988835,0.415123,0.600000,0.096398,1.000000
17.875000,1.017347,0.415157,0.600000,0.096526,1.000000
17.916667,1.054442,0.415271,0.600000,0.096389,1.000000
17.958333,1.096228,0.415475,0.600000,0.096658,1.000000
18.000000,1.113624,0.415794,0.790540,0.096531,0.530021
18.041667,1.033760,0.416003,1.645556,0.985946,0.349996
18.083333,0.966046,0.415812,1.657502,1.000000,0.349996
18.125000,0.914525,0.415317,1.657502,1.000000,0.349996
18.166667,0.870875,0.414564,1.657502,1.000000,0.349996
18.208333,0.827128,0.413551,1.657502,1.000000,0.349996
18.250000,0.787356,0.412301,1.657502,1.000000,0.349996
18.291667,0.745597,0.410805,1.657502,1.000000,0.349996
18.333333,0.700983,0.409058,1.657502,1.000000,0.349996
18.375000,0.657362,0.407061,1.657502,1.000000,0.349996
18.416667,0.699287,0.406120,0.889925,0.096968,0.349996
18.458333,0.773404,0.405640,0.600000,0.096878,1.000000
18.500000,0.829354,0.405276,0.600000,0.096908,1.000000
18.541667,0.871304,0.405000,0.600000,0.097284,1.000000
18.583333,0.898750,0.404782,0.600000,0.097269,1.000000
18.625000,0.915915,0.404600,0.600000,0.097351,1.000000
18.666667,0.922385,0.404435,0.600000,0.097562,1.000000
18.708333,0.920758,0.404266,0.600000,0.097579,1.000000
18.750000,0.918913,0.404094,0.600000,0.097938,1.000000
18.791667,0.921414,0.403928,0.600000,0.097823,1.000000
18.833333,0.922336,0.403766,0.600000,0.097993,1.000000
18.875000,0.934225,0.403628,0.600000,0.098111,1.000000
18.916667,0.955301,0.403534,0.600000,0.097946,1.000000
18.958333,0.984002,0.403497,0.600000,0.098203,1.000000
19.000000,1.015515,0.403526,0.600000,0.097937,1.000000
19.041667,1.061425,0.403650,0.600000,0.098221,1.000000
19.083333,1.110332,0.403876,0.600000,0.098203,1.000000
19.125000,1.107079,0.404236,0.978070,0.200668,0.349996
